timestamp,pos_cov_x,pos_cov_y,pos_cov_z,ori_cov_r,ori_cov_p,ori_cov_y
1763444645.075,4.56981,4.11259,5.94978,0.02105,0.00894,0.03534
1763444645.175,4.56982,4.11259,5.94978,0.02105,0.00894,0.03534
1763444645.275,4.56982,4.11259,5.94979,0.02104,0.00894,0.03533
1763444645.375,4.56983,4.11258,5.94979,0.02104,0.00894,0.03533
1763444645.475,4.56984,4.11258,5.9498,0.02104,0.00893,0.03532
1763444645.575,4.56985,4.11258,5.9498,0.02104,0.00893,0.03532
1763444645.675,4.56985,4.11258,5.9498,0.02104,0.00893,0.03532
1763444645.775,4.56986,4.11258,5.94981,0.02104,0.00893,0.03532
1763444645.875,4.56987,4.11258,5.94981,0.02103,0.00891,0.0353
1763444645.975,4.5699,4.11258,5.94982,0.02103,0.00891,0.0353
1763444646.075,4.56992,4.11259,5.94983,0.02103,0.00891,0.0353
1763444646.175,4.56994,4.11259,5.94983,0.02103,0.00891,0.0353
1763444646.275,4.56996,4.11259,5.94984,0.02103,0.00893,0.03531
1763444646.375,4.56997,4.1126,5.94984,0.02103,0.00893,0.03531
1763444646.475,4.56998,4.1126,5.94984,0.02103,0.00893,0.03531
1763444646.575,4.57,4.1126,5.94984,0.02103,0.00893,0.03531
1763444646.675,4.57002,4.1126,5.94985,0.02104,0.00892,0.03531
1763444646.775,4.57006,4.11261,5.94986,0.02104,0.00892,0.03531
1763444646.875,4.5701,4.11261,5.94987,0.02105,0.00893,0.03532
1763444646.975,4.57012,4.11261,5.94987,0.02105,0.00893,0.03532
1763444647.075,4.57014,4.11261,5.94988,0.02105,0.00893,0.03532
1763444647.175,4.57016,4.11261,5.94988,0.02106,0.00895,0.03535
1763444647.275,4.57017,4.11261,5.94988,0.02106,0.00895,0.03535
1763444647.375,4.5702,4.11262,5.94989,0.02106,0.00895,0.03535
1763444647.475,4.57025,4.11264,5.94991,0.0211,0.00899,0.03536
1763444647.575,4.57031,4.11267,5.94993,0.0211,0.00899,0.03536
1763444647.675,4.57036,4.11269,5.94994,0.0211,0.00899,0.03536
1763444647.775,4.57055,4.11273,5.94999,0.02108,0.00903,0.03539
1763444647.875,4.57077,4.11277,5.95004,0.02108,0.00903,0.03539
1763444647.975,4.57094,4.11282,5.95007,0.02109,0.00895,0.03538
1763444648.075,4.57105,4.11285,5.95009,0.02109,0.00895,0.03538
1763444648.175,4.5711,4.11288,5.95011,0.02109,0.00895,0.03538
1763444648.275,4.57106,4.11296,5.95013,0.02109,0.00896,0.03536
1763444648.375,4.57106,4.11303,5.95014,0.02109,0.00896,0.03536
1763444648.475,4.57112,4.11329,5.9502,0.02108,0.009,0.03535
1763444648.575,4.57119,4.11344,5.95024,0.02108,0.009,0.03535
1763444648.675,4.57127,4.11364,5.95029,0.02108,0.009,0.03535
1763444648.775,4.57138,4.11372,5.95032,0.02107,0.00895,0.03536
1763444648.875,4.57148,4.11372,5.95033,0.02107,0.00895,0.03536
1763444648.975,4.57161,4.11371,5.95034,0.02107,0.00895,0.03536
1763444649.075,4.57179,4.11363,5.95034,0.02107,0.00896,0.03537
1763444649.175,4.57197,4.11358,5.95034,0.02107,0.00896,0.03537
1763444649.275,4.57226,4.11364,5.95039,0.02109,0.00898,0.03541
1763444649.375,4.57246,4.11369,5.95042,0.02109,0.00898,0.03541
1763444649.475,4.5727,4.11374,5.95045,0.02109,0.00898,0.03541
1763444649.575,4.57284,4.11377,5.95047,0.02109,0.00898,0.03541
1763444649.675,4.57279,4.11377,5.95047,0.02109,0.00896,0.03538
1763444649.775,4.57271,4.11378,5.95047,0.02109,0.00896,0.03538
1763444649.875,4.57251,4.11376,5.95045,0.0211,0.00898,0.03539
1763444649.975,4.57236,4.11374,5.95044,0.0211,0.00898,0.03539
1763444650.075,4.57236,4.11374,5.95045,0.0211,0.00898,0.03539
1763444650.175,4.57239,4.11375,5.95046,0.0211,0.009,0.0354
1763444650.275,4.57242,4.11376,5.95047,0.0211,0.009,0.0354
1763444650.375,4.57249,4.11378,5.95048,0.02107,0.00896,0.03539
1763444650.475,4.57253,4.11379,5.95048,0.02107,0.00896,0.03539
1763444650.575,4.57257,4.1138,5.95049,0.02107,0.00896,0.03539
1763444650.675,4.57266,4.11381,5.95049,0.02109,0.00898,0.0354
1763444650.775,4.57275,4.11383,5.95051,0.02109,0.00898,0.0354
1763444650.875,4.57287,4.11386,5.95053,0.02109,0.00898,0.0354
1763444650.975,4.57304,4.11392,5.95058,0.02109,0.00899,0.0354
1763444651.075,4.57321,4.114,5.95063,0.02109,0.00899,0.0354
1763444651.175,4.57332,4.11405,5.95067,0.02109,0.00899,0.0354
1763444651.275,4.57353,4.11418,5.95075,0.02109,0.009,0.03541
1763444651.375,4.57375,4.11431,5.95084,0.02109,0.009,0.03541
1763444651.475,4.57403,4.11448,5.95094,0.02109,0.009,0.03543
1763444651.575,4.57422,4.1146,5.95102,0.02109,0.009,0.03543
1763444651.675,4.57443,4.11474,5.9511,0.02109,0.009,0.03543
1763444651.775,4.5745,4.11477,5.95113,0.02109,0.009,0.03545
1763444651.875,4.57449,4.11474,5.95112,0.02109,0.009,0.03545
1763444651.975,4.57441,4.11465,5.9511,0.02111,0.00901,0.03548
1763444652.075,4.5743,4.11456,5.95105,0.02111,0.00901,0.03548
1763444652.175,4.5742,4.11449,5.95102,0.02111,0.00901,0.03548
1763444652.275,4.57417,4.11447,5.95101,0.02109,0.00897,0.03544
1763444652.375,4.57416,4.11447,5.95101,0.02109,0.00897,0.03544
1763444652.475,4.57415,4.11446,5.951,0.02109,0.00897,0.03544
1763444652.575,4.57419,4.11446,5.951,0.02109,0.009,0.03547
1763444652.675,4.57422,4.11446,5.951,0.02109,0.009,0.03547
1763444652.775,4.57425,4.11446,5.951,0.02109,0.009,0.03547
1763444652.875,4.57428,4.11445,5.951,0.02108,0.00899,0.03546
1763444652.975,4.57432,4.11445,5.951,0.02108,0.00899,0.03546
1763444653.075,4.57435,4.11444,5.95101,0.02108,0.00899,0.03546
1763444653.175,4.57437,4.11444,5.95102,0.02108,0.00896,0.03545
1763444653.275,4.57439,4.11443,5.95103,0.02108,0.00896,0.03545
1763444653.375,4.57164,4.11474,5.94975,0.01879,0.00875,0.0338
1763444653.475,4.56658,4.11421,5.951,0.01879,0.00875,0.0338
