timestamp,pos_cov_x,pos_cov_y,pos_cov_z,ori_cov_r,ori_cov_p,ori_cov_y
1763444633.575,4.24698,4.75198,5.62166,0.01041,0.02198,0.03271
1763444633.675,4.24699,4.752,5.62167,0.01041,0.02198,0.03271
1763444633.775,4.247,4.75203,5.62168,0.01041,0.02198,0.03271
1763444633.875,4.24699,4.75205,5.62168,0.0104,0.02195,0.0327
1763444633.975,4.24698,4.75207,5.62168,0.0104,0.02195,0.0327
1763444634.075,4.24696,4.75208,5.62168,0.0104,0.02195,0.0327
1763444634.175,4.24694,4.75207,5.62168,0.01041,0.02196,0.0327
1763444634.275,4.24693,4.75208,5.62168,0.01041,0.02196,0.0327
1763444634.375,4.24691,4.75208,5.62168,0.01041,0.02196,0.0327
1763444634.475,4.24691,4.75209,5.62168,0.01041,0.02196,0.0327
1763444634.575,4.24691,4.7521,5.62168,0.01041,0.02196,0.0327
1763444634.675,4.24689,4.75211,5.62168,0.01041,0.02196,0.03271
1763444634.775,4.24688,4.75211,5.62168,0.01041,0.02196,0.03271
1763444634.875,4.24685,4.75211,5.62168,0.01041,0.02196,0.03271
1763444634.975,4.24682,4.7521,5.62167,0.01041,0.02195,0.0327
1763444635.075,4.24679,4.7521,5.62167,0.01041,0.02195,0.0327
1763444635.175,4.24675,4.75209,5.62167,0.01041,0.02195,0.0327
1763444635.275,4.24673,4.75209,5.62168,0.01041,0.02196,0.03271
1763444635.375,4.24673,4.75209,5.62168,0.01041,0.02196,0.03271
1763444635.475,4.24673,4.7521,5.62168,0.01041,0.02196,0.03271
1763444635.575,4.24674,4.75211,5.62169,0.01041,0.02196,0.03271
1763444635.675,4.24674,4.75212,5.62169,0.01041,0.02196,0.03271
1763444635.775,4.24676,4.75214,5.6217,0.01041,0.02197,0.03273
1763444635.875,4.24677,4.75215,5.62171,0.01041,0.02197,0.03273
1763444635.975,4.24679,4.75217,5.62171,0.01041,0.02197,0.03273
1763444636.075,4.24681,4.75219,5.62172,0.01041,0.02197,0.03272
1763444636.175,4.24682,4.7522,5.62173,0.01041,0.02197,0.03272
1763444636.275,4.24684,4.75221,5.62173,0.01041,0.02197,0.03272
1763444636.375,4.24688,4.75224,5.62176,0.01042,0.02199,0.03276
1763444636.475,4.24693,4.75228,5.62178,0.01042,0.02199,0.03276
1763444636.575,4.24704,4.75231,5.6218,0.01042,0.02198,0.03274
1763444636.675,4.24711,4.75234,5.62182,0.01042,0.02198,0.03274
1763444636.775,4.2472,4.75235,5.62183,0.01042,0.02198,0.03274
1763444636.875,4.24725,4.75235,5.62184,0.0104,0.02198,0.03273
1763444636.975,4.24728,4.75235,5.62184,0.0104,0.02198,0.03273
1763444637.075,4.24732,4.75235,5.62185,0.0104,0.02198,0.03273
1763444637.175,4.24736,4.75238,5.62188,0.01042,0.022,0.03277
1763444637.275,4.24743,4.75242,5.62191,0.01042,0.022,0.03277
1763444637.375,4.24757,4.75248,5.62195,0.01041,0.02199,0.03277
1763444637.475,4.24767,4.75253,5.62197,0.01041,0.02199,0.03277
1763444637.575,4.24778,4.75258,5.622,0.01041,0.02199,0.03277
1763444637.675,4.24789,4.75262,5.62202,0.01042,0.022,0.03276
1763444637.775,4.24796,4.75263,5.62203,0.01042,0.022,0.03276
1763444637.875,4.24806,4.75265,5.62205,0.01042,0.022,0.03276
1763444637.975,4.24806,4.75264,5.62205,0.01041,0.02199,0.03275
1763444638.075,4.24803,4.75263,5.62204,0.01041,0.02199,0.03275
1763444638.175,4.24798,4.75262,5.62203,0.01041,0.022,0.03276
1763444638.275,4.24794,4.75261,5.62202,0.01041,0.022,0.03276
1763444638.375,4.24792,4.75262,5.62201,0.01041,0.022,0.03276
1763444638.475,4.24799,4.75263,5.62202,0.01042,0.022,0.03275
1763444638.575,4.24805,4.75264,5.62203,0.01042,0.022,0.03275
1763444638.675,4.24814,4.75265,5.62205,0.01042,0.022,0.03275
1763444638.775,4.2482,4.75267,5.62206,0.0104,0.022,0.03276
1763444638.875,4.24823,4.75268,5.62206,0.0104,0.022,0.03276
