t_rel,t,speed,yaw_target_deg,yaw_lidar_current_deg,err_current_deg,yaw_lidar_calib_deg,err_calib_deg
310.800191,1766377312.206592,0.605888,21.257528,-19.883870,-41.141398,21.010646,-0.246882
310.899195,1766377312.305595,0.592518,20.871567,-20.262439,-41.134006,20.632077,-0.239491
310.999024,1766377312.405424,0.660482,21.210453,-20.032965,-41.243419,20.861550,-0.348903
311.101335,1766377312.507735,0.613848,22.076463,-19.220544,-41.297008,21.673971,-0.402492
311.199416,1766377312.605816,0.649356,22.474789,-18.843219,-41.318009,22.051296,-0.423493
311.300075,1766377312.706475,0.665542,21.973105,-19.224088,-41.197193,21.670427,-0.302677
311.399240,1766377312.805640,0.586380,21.081507,-20.134976,-41.216483,20.759540,-0.321967
311.499564,1766377312.905964,0.533029,20.643865,-20.564108,-41.207972,20.330408,-0.313457
311.599922,1766377313.006322,0.643173,20.833072,-20.475523,-41.308595,20.418993,-0.414079
311.699402,1766377313.105802,0.670905,21.654482,-19.673574,-41.328056,21.220942,-0.433540
311.800045,1766377313.206446,0.645735,22.178313,-19.141727,-41.320039,21.752789,-0.425524
311.900606,1766377313.307006,0.625039,22.085757,-19.136417,-41.222174,21.758099,-0.327658
312.000136,1766377313.406536,0.543353,21.277411,-19.940587,-41.217999,20.953929,-0.323483
312.099341,1766377313.505741,0.521408,20.828431,-20.375114,-41.203544,20.519402,-0.309029
312.199310,1766377313.605710,0.640217,20.807956,-20.450504,-41.258460,20.444012,-0.363944
312.299094,1766377313.705495,0.595288,21.522427,-19.757611,-41.280038,21.136904,-0.385523
312.399156,1766377313.805556,0.549324,21.940180,-19.315377,-41.255557,21.579139,-0.361041
312.499224,1766377313.905624,0.636199,22.105110,-19.101697,-41.206807,21.792819,-0.312291
312.599911,1766377314.006311,0.600181,21.398570,-19.747969,-41.146539,21.146547,-0.252023
312.699006,1766377314.105406,0.572558,19.552947,-21.374947,-40.927893,19.519569,-0.033378
312.800133,1766377314.206533,0.659443,16.533411,-24.563544,-41.096955,16.330972,-0.202439
312.900225,1766377314.306625,0.611302,14.621270,-26.512374,-41.133644,14.382142,-0.239128
312.999143,1766377314.405544,0.574112,12.377771,-28.750817,-41.128588,12.143699,-0.234072
313.100561,1766377314.506961,0.621526,9.359973,-31.639050,-40.999023,9.255466,-0.104507
313.200614,1766377314.607014,0.656131,5.744744,-35.136804,-40.881549,5.757711,0.012967
313.299183,1766377314.705583,0.653696,2.153569,-38.779387,-40.932956,2.115129,-0.038440
313.400187,1766377314.806588,0.638767,-0.884894,-41.911098,-41.026204,-1.016582,-0.131688
313.499185,1766377314.905586,0.572554,-2.590471,-43.599098,-41.008627,-2.704582,-0.114111
313.599129,1766377315.005530,0.601636,-5.044858,-46.072309,-41.027451,-5.177794,-0.132935
313.699569,1766377315.105969,0.667655,-8.301531,-49.284414,-40.982882,-8.389898,-0.088367
313.800111,1766377315.206511,0.643250,-11.938303,-52.789856,-40.851553,-11.895340,0.042963
313.901074,1766377315.307475,0.607279,-15.322766,-56.276443,-40.953677,-15.381927,-0.059161
314.017491,1766377315.423892,0.614235,-18.130314,-59.488382,-41.358068,-18.593866,-0.463552
314.099234,1766377315.505634,0.825174,-20.111067,-61.194510,-41.083443,-20.299995,-0.188927
